       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey
    PS114bj   150.5351375     3.65528333    0.5215     Host_lines  0.0189   56594.15  56781.86     Gold     PS1
    PS15cjz   40.18591667    -0.89066667      0.22  Host_spectrum  0.0293   57252.35  57318.51     Gold     DES
 PSNJ000123      0.347333        0.08445     0.281     Host_lines  0.0258   53611.45   53659.2   Bronze    SDSS
   PTF09atu  247.60229167    23.64027778    0.5015  Host_spectrum  0.0409    54957.9  55068.19     Gold     PTF
   PTF09cnd     243.03725    51.48780556    0.2584  Host_spectrum  0.0207    55017.1   55087.1     Gold     PTF
  PTF10aagc  144.98717917    21.72141389     0.206  Host_spectrum  0.0224   55489.67  55501.76   Silver     PTF
   PTF10bfz  193.67195833    15.40472222    0.1701  Host_spectrum  0.0176    55207.1  55231.69   Silver     PTF
   PTF10bjp  151.64291667    67.98861111    0.3584  Host_spectrum  0.0527    55187.0  55246.21   Silver     PTF
   PTF10iam    236.378542        54.0425     0.109     Host_lines  0.0089   55338.32  55353.49   Silver     PTF
   PTF10nmn  237.51170417    -7.41177222    0.1237  Host_spectrum  0.1337   55256.54  55325.92   Silver     PTF
   PTF10uhf  253.19456667    47.60604444    0.2882  Host_spectrum  0.0176   55423.52   55450.9     Gold     PTF
   PTF10vqv   45.77833333    -1.54302778    0.4518  Host_spectrum  0.0557   55424.96  55468.57     Gold     PTF
   PTF12dam      216.1925    46.23008333    0.1073  Host_spectrum  0.0107   56020.06  56103.23     Gold     PTF
   PTF12gty  240.31345833    21.38816667    0.1768    SN_features    0.06   56070.99  56143.18   Silver     PTF
   PTF12hni     337.98275      -6.796944    0.1056    SN_features  0.0514    56125.5  56155.23   Silver     PTF
   PTF12mxx      337.5697    27.97278056    0.3296  Host_spectrum  0.0413   56228.62  56289.08     Gold     PTF
    SCP06F6  218.11414583    33.54023056     1.189       Mg_Lines  0.0083   53759.74  53851.06     Gold   Other
  SDSS17789       22.3172       0.710523    0.3858    SN_features  0.0218   54262.63  54351.42   Bronze    SDSS
     SN1000    150.024425      2.2732281    3.8993    Lyman_break  0.0164   53954.54  54420.05   Bronze   Other
     SN2213   333.4165417    -17.7568017    2.0458    Lyman_break  0.0242   53506.64   53674.0   Bronze   Other
 SNLS06D4eu   333.9762125   -18.17932222    1.5881     Host_lines  0.0243   53947.32  53998.52     Gold    SNLS
 SNLS07D2bv  150.02758333     2.64327778       1.5    SN_features  0.0164   54136.31   54185.5     Gold    SNLS
 SNLS07D3bs    215.460275      53.174606     0.757    SN_features  0.0091   54128.18  54180.87   Silver    SNLS
