 Filter     Telescope  Instrument  System   Cenwave  Zeropoint
      V        duPont       WFCCD    Vega   Generic    Generic
      V        Helmos      LN2CCD      AB   Generic    3631.00
      V       Lijiang          --    Vega   Generic    Generic
      V       MPI2.2m      EFOSC2    Vega   Generic    Generic
      V       Schmidt          --      AB   Generic    3631.00
      V       Schmidt          --    Vega   Generic    Generic
      V       Wise1.0          --    Vega   Generic    Generic
      V      CTIO0.9m         CCD    Vega   Generic    Generic
      V      DOT-3.6m          --    Vega   Generic    Generic
      V      HCT-2.0m          --    Vega   Generic    Generic
      V      Magellan      LDSS-2    Vega   Generic    Generic
      V      ST-1.04m          --    Vega   Generic    Generic
      V      Tsinghua          --    Vega   Generic    Generic
      V     Copernico          --    Vega   Generic    Generic
      V     Copernico       AFOSC      AB   Generic    3631.00
      V     Copernico       AFOSC    Vega   Generic    Generic
      v     SkyMapper          --      AB   3878.68    3631.00
      V   Danish1.54m         CCD    Vega   Generic    Generic
      V   ESOESO3.6mm      EFOSC1    Vega   Generic    Generic
      V  Sampurnanand          --    Vega   Generic    Generic
      V  Sampurnanand      Camera    Vega   Generic    Generic
      w            --          --      AB   Generic    3631.00
      w           PS1          --      AB   5980.70    3631.00
      w           PS1        GPC1      AB   5980.70    3631.00
      w           PS2        GPC2      AB   5980.70    3631.00
     W1          WISE        WISE      AB  33526.00    3631.00
     W1          WISE        WISE    Vega  33526.00    309.540
     W2          WISE        WISE      AB  46028.00    3631.00
     W2          WISE        WISE    Vega  46028.00    171.790
      y           PS1          --      AB   9613.60    3631.00
      y        Subaru         HSC      AB   Generic    3631.00
      Y    UltraVISTA          --      AB   Generic    3631.00
      z            --          --      AB   Generic    3631.00
      z            GN          --      AB   Generic    3631.00
      z            GS          --      AB   Generic    3631.00
      z            LT          --      AB   Generic    3631.00
      z            LT         IOO      AB   8970.57    3631.00
      z           DES          --      AB   Generic    3631.00
      z           FTN          --      AB   Generic    3631.00
      z           FTS          --      AB   Generic    3631.00
      z           LBT          --      AB   Generic    3631.00
      z           LCO          --      AB   Generic    3631.00
      z           LCO    Sinistro      AB   Generic    3631.00
      z           LOT          --      AB   Generic    3631.00
      z           NOT          --      AB   Generic    3631.00
      z           NOT      ALFOSC      AB   Generic    3631.00
      z           NTT          --      AB   Generic    3631.00
      z           NTT          --    Vega   Generic    Generic
      z           P60          --      AB   Generic    3631.00
      z           PS1          --      AB   8668.36    3631.00
      z           PS2        GPC2      AB   8668.36    3631.00
      z           TNG          --      AB   Generic    3631.00
      z           WHT          --      AB   Generic    3631.00
      z          CFHT          --      AB   Generic    3631.00
      z          SDSS          --      AB   8922.78    3631.00
      z          SNLS          --    Vega   Generic    Generic
      z         GROND          --      AB   8927.54    3631.00
      z         LCOGT          --      AB   Generic    3631.00
      z        Blanco       DECam      AB   9154.88    3631.00
      z        Subaru          --    Vega   8906.54    2252.95
      z        Subaru         HSC      AB   Generic    3631.00
      z       ESO2.2m         MPI      AB   Generic    3631.00
      z       ESO2.2m       GROND      AB   8927.54    3631.00
      z      Magellan       IMACS      AB   9554.53    3631.00
      z      Magellan      LDSS3c      AB   Generic    3631.00
      z     Copernico          --      AB   Generic    3631.00
      z     Copernico       AFOSC      AB   Generic    3631.00
      z     SkyMapper          --      AB   9120.25    3631.00
